suite,background,method,n,improved,unchanged,worsened,clipped,gained3,lost3,gained45,lost45,mean_gain,min_gain,max_gain,background_distance_violations
sweep,#201C18,0.1,274625,0,0,274625,0,0,202005,0,149483,-4.370872453267456,-14.333257947084318,-1.9633200870394774e-05,0
sweep,#201C18,0.125,274625,0,0,274625,0,0,202005,0,149483,-4.2494609166440265,-13.935111892998643,-1.9087834179698504e-05,0
sweep,#201C18,0.15,274625,0,0,274625,0,0,198634,0,149483,-4.128049299064853,-13.536965838912968,-1.854246748878019e-05,0
sweep,#201C18,0.175,274625,0,0,274625,0,0,185150,0,149483,-4.006637599769461,-13.138819784827293,-1.7997100797861876e-05,0
sweep,#201C18,0.2,274625,0,0,274625,0,0,168535,0,149483,-3.8852258179868584,-12.740673730741616,-1.7451734107165606e-05,0
sweep,#201C18,0.225,274625,0,0,274625,0,0,154422,0,149461,-3.763813952935347,-12.34252767665594,-1.6906367416247292e-05,0
sweep,#201C18,0.25,274625,0,0,274625,0,0,142142,0,148000,-3.6424020038223084,-11.944381622570265,-1.6361000725328978e-05,0
sweep,#201C18,0.275,274625,0,0,274625,0,0,131434,0,143465,-3.520989969844017,-11.54623556848459,-1.581563403463271e-05,0
sweep,#201C18,0.3,274625,0,0,274625,0,0,121819,0,135254,-3.399577850185417,-11.148089514398915,-1.5270267343714394e-05,0
sweep,#201C18,0.325,274625,0,0,274625,0,0,113150,0,125166,-3.2781656440199205,-10.749943460313238,-1.4724900653018125e-05,0
sweep,#201C18,0.35,274625,0,0,274625,0,0,105294,0,116013,-3.156753350509184,-10.351797406227565,-1.417953396209981e-05,0
sweep,#201C18,0.375,274625,0,0,274625,0,0,97981,0,107641,-3.035340968802881,-9.953651352141888,-1.3634167271181497e-05,0
sweep,#201C18,0.4,274625,0,0,274625,0,0,91211,0,100021,-2.913928498038481,-9.555505298056215,-1.3088800580263182e-05,0
sweep,#201C18,0.425,274625,0,0,274625,0,0,84866,0,92996,-2.7925159373410082,-9.15735924397054,-1.2543433889566913e-05,0
sweep,#201C18,0.45,274625,0,0,274625,0,0,78819,0,86484,-2.6711032858228028,-8.759213189884862,-1.1998067198648599e-05,0
sweep,#201C18,0.475,274625,0,0,274625,0,0,73016,0,80347,-2.5496905425832788,-8.361067135799185,-1.1452700507730285e-05,0
sweep,#201C18,0.5,274625,0,0,274625,0,0,67387,0,74626,-2.4282777067086645,-7.96292108171351,-1.090733381681197e-05,0
sweep,#201C18,0.525,274625,0,0,274625,0,0,61984,0,69297,-2.3068647772717514,-7.564775027627835,-1.0361967126115701e-05,0
sweep,#201C18,0.55,274625,0,0,274625,0,0,56809,0,64256,-2.1854517533316247,-7.1666289735421564,-9.816600435197387e-06,0
sweep,#201C18,0.575,274625,0,0,274625,0,0,51848,0,59472,-2.0640386339333934,-6.768482919456485,-9.271233744501117e-06,0
sweep,#201C18,0.6,274625,0,0,274625,0,0,47022,0,54876,-1.9426254181079101,-6.370336865370808,-8.725867053582803e-06,0
sweep,#201C18,0.625,274625,0,0,274625,0,0,42430,0,50603,-1.8212121048714904,-5.972190811285133,-8.180500362664489e-06,0
sweep,#201C18,0.65,274625,0,0,274625,0,0,38235,0,46499,-1.6997986932256153,-5.574044757199458,-7.635133671746175e-06,0
sweep,#201C18,0.675,274625,0,0,274625,0,0,34274,0,42527,-1.5783851821566344,-5.175898703113782,-7.089766981049905e-06,0
sweep,#201C18,0.7,274625,0,0,274625,0,0,30599,0,38689,-1.4569715706354596,-4.777752649028107,-6.544400290131591e-06,0
sweep,#201C18,0.725,274625,0,0,274625,0,0,27163,0,35020,-1.335557857617243,-4.37960659494243,-5.999033599213277e-06,0
sweep,#201C18,0.75,274625,0,0,274625,0,0,23922,0,31457,-1.214144042041062,-3.981460540856755,-5.4536669085170075e-06,0
sweep,#201C18,0.775,274625,0,0,274625,0,0,20872,0,27951,-1.0927301228295818,-3.5833144867710782,-4.908300217598693e-06,0
sweep,#201C18,0.8,274625,0,0,274625,0,0,18024,0,24647,-0.9713160988887166,-3.185168432685403,-4.362933526902424e-06,0
sweep,#201C18,0.825,274625,0,0,274625,0,0,15303,0,21285,-0.8499019691072799,-2.7870223785997315,-3.81756683598411e-06,0
sweep,#201C18,0.85,274625,0,0,274625,0,0,12778,0,18054,-0.7284877323566235,-2.3888763245140545,-3.2722001450657956e-06,0
sweep,#201C18,0.875,274625,0,0,274625,0,0,10347,0,14865,-0.6070733874902727,-1.9907302704283794,-2.726833454369526e-06,0
sweep,#201C18,0.9,274625,0,0,274625,0,0,8095,0,11756,-0.48565893334354693,-1.5925842163427006,-2.181466763451212e-06,0
sweep,#201C18,0.925,274625,0,0,274625,0,0,5901,0,8716,-0.3642443687331696,-1.1944381622570273,-1.6361000725328978e-06,0
sweep,#201C18,0.95,274625,0,0,274625,0,0,3813,0,5759,-0.24282969245687233,-0.7962921081713539,-1.0907333818366283e-06,0
sweep,#201C18,0.975,274625,0,0,274625,0,0,1858,0,2832,-0.12141490329298117,-0.39814605408567516,-5.453666906962695e-07,0
sweep,#201C18,1.0,274625,0,274625,0,0,0,0,0,0,1.2411050288936661e-18,-1.3322676295501878e-15,1.7763568394002505e-15,0
sweep,#201C18,1.025,274625,273912,8,705,24578,1811,0,2685,0,0.11535125870707494,-0.004452094240432247,0.38396975568297265,0
sweep,#201C18,1.05,274625,273918,8,699,36297,3469,0,5238,0,0.2276121720042783,-0.00840391352991321,0.7401774029488895,0
sweep,#201C18,1.075,274625,273919,8,698,36297,5108,0,7693,0,0.33705664753796677,-0.012554221629612616,1.1102661044233297,0
sweep,#201C18,1.1,274625,273919,8,698,51365,6631,0,10033,0,0.4409981201456543,-0.016670659288440914,1.4260044319067848,0
sweep,#201C18,1.125,274625,273897,8,720,65765,8071,0,12251,0,0.5429824304123309,-0.02075363944368447,1.7160258764860057,0
