browser,alpha,medianMs,p10Ms,p90Ms
webkit,0.4,0.2,0.2,0.25
webkit,0.425,0.2,0.17,0.25
webkit,0.45,0.2,0.17,0.25
webkit,0.475,0.2,0.15,0.2
webkit,0.5,0.2,0.17,0.25
webkit,0.525,0.2,0.17,0.25
webkit,0.55,0.2,0.2,0.25
webkit,0.575,0.2,0.2,0.25
webkit,0.6,0.2,0.2,0.25
webkit,0.625,0.2,0.17,0.25
webkit,0.65,0.2,0.15,0.25
webkit,0.675,0.2,0.17,0.2
webkit,0.7,0.2,0.17,0.25
webkit,0.725,0.2,0.2,0.25
webkit,0.75,0.2,0.2,0.25
webkit,0.775,0.2,0.15,0.25
webkit,0.8,0.2,0.17,0.2
webkit,0.825,0.2,0.17,0.25
webkit,0.85,0.2,0.2,0.23000000000000007
webkit,0.875,0.2,0.2,0.23000000000000007
webkit,0.9,0.2,0.17,0.25
webkit,0.925,0.2,0.2,0.25
webkit,0.95,0.2,0.2,0.25
webkit,0.975,0.2,0.15,0.23000000000000007
webkit,1,0.2,0.17,0.25
webkit,1.025,0.2,0.15,0.25
webkit,1.05,0.2,0.17,0.25
webkit,1.075,0.2,0.2,0.2800000000000001
webkit,1.1,0.2,0.2,0.23000000000000007
webkit,1.125,0.2,0.15,0.23000000000000007
webkit,1.15,0.2,0.15,0.25
webkit,1.175,0.2,0.17,0.25
webkit,1.2,0.2,0.17,0.25
webkit,1.225,0.2,0.2,0.2
webkit,1.25,0.2,0.15,0.23000000000000007
webkit,1.275,0.2,0.2,0.25
webkit,1.3,0.2,0.15,0.25
webkit,1.325,0.2,0.2,0.25
webkit,1.35,0.2,0.2,0.25
webkit,1.375,0.2,0.2,0.25
webkit,1.4,0.2,0.15,0.25
webkit,1.425,0.2,0.2,0.25
webkit,1.45,0.2,0.2,0.25
webkit,1.475,0.2,0.15,0.2800000000000001
webkit,1.5,0.2,0.2,0.25
webkit,1.525,0.2,0.17,0.25
webkit,1.55,0.2,0.17,0.25
webkit,1.575,0.2,0.17,0.25
webkit,1.6,0.2,0.2,0.25
webkit,1.625,0.2,0.17,0.25
webkit,1.65,0.2,0.17,0.25
webkit,1.675,0.2,0.2,0.25
webkit,1.7,0.2,0.2,0.25
webkit,1.725,0.2,0.15,0.25
webkit,1.75,0.2,0.2,0.25
webkit,1.775,0.2,0.2,0.25
webkit,1.8,0.2,0.2,0.25
webkit,1.825,0.2,0.15,0.25
webkit,1.85,0.2,0.15,0.25
webkit,1.875,0.2,0.17,0.25
webkit,1.9,0.2,0.15,0.25
webkit,1.925,0.2,0.17,0.25
webkit,1.95,0.2,0.2,0.25
webkit,1.975,0.2,0.15,0.25
webkit,2,0.2,0.15,0.25
