canvas_group,alpha,source_cases,mean_contrast_gain,contrast_decreased_pct,pair_cases,merged_pairs_pct
Dark canvases,0.7,2197000,-1.5115519640792379,99.99995448338643,524288,0.0
Dark canvases,0.725,2197000,-1.3855900395812186,99.99995448338643,524288,0.0
Dark canvases,0.75,2197000,-1.2596279864459243,99.99995448338643,524288,0.0
Dark canvases,0.775,2197000,-1.1336658030215885,99.99995448338643,524288,0.0
Dark canvases,0.8,2197000,-1.007703487624235,99.99995448338643,524288,0.0
Dark canvases,0.825,2197000,-0.8817410385368193,99.99995448338643,524288,0.0
Dark canvases,0.85,2197000,-0.7557784540083333,99.99995448338643,524288,0.0
Dark canvases,0.875,2197000,-0.629815732252887,99.99995448338643,524288,0.0
Dark canvases,0.9,2197000,-0.5038528714487509,99.99995448338643,524288,0.0
Dark canvases,0.925,2197000,-0.3778898697373681,99.99995448338643,524288,0.0
Dark canvases,0.95,2197000,-0.2519267252223311,99.99995448338643,524288,0.0
Dark canvases,0.975,2197000,-0.12596343596831855,99.99995448338643,524288,0.0
Dark canvases,1.0,2197000,-3.4002032969926392e-18,0.0,524288,0.0
Dark canvases,1.025,2197000,0.11968837861629515,0.22735548475193446,524288,0.0
Dark canvases,1.05,2197000,0.23616657292886814,0.22580791989076013,524288,0.0
Dark canvases,1.075,2197000,0.3497480357029654,0.22507965407373692,524288,0.0
Dark canvases,1.1,2197000,0.45763244999874747,0.2331360946745562,524288,0.0
Dark canvases,1.125,2197000,0.5634539754626384,0.24032771961766045,524288,0.0
Dark canvases,1.15,2197000,0.6655284805327024,0.24811106053709603,524288,0.0
Dark canvases,1.175,2197000,0.7642851046763125,0.2559399180700956,524288,0.0
Dark canvases,1.2,2197000,0.8609278883597746,0.2638142922166591,524288,0.0
Dark canvases,1.225,2197000,0.9534440633284923,0.271279016841147,524288,0.0
Dark canvases,1.25,2197000,1.0448466834589318,0.27669549385525716,524288,0.00152587890625
Dark canvases,1.275,2197000,1.1319109624939179,0.2817933545744197,524288,0.00152587890625
Dark canvases,1.3,2197000,1.2182871666117034,0.2891215293582157,524288,0.00152587890625
Dark canvases,1.325,2197000,1.3006795619431408,0.29581247155211654,524288,0.00152587890625
Dark canvases,1.35,2197000,1.382216232833616,0.3010468821119709,524288,0.00152587890625
Dark canvases,1.375,2197000,1.460667123712785,0.3062812926718252,524288,0.00152587890625
Dark canvases,1.4,2197000,1.537556408070738,0.31151570323167954,524288,0.0030517578125
Dark canvases,1.425,2197000,1.6127684306095742,0.3149749658625398,524288,0.0030517578125
Dark canvases,1.45,2197000,1.6851971036425113,0.32020937642239417,524288,0.0030517578125
Dark canvases,1.475,2197000,1.7574308373332523,0.3243513882567137,524288,0.0030517578125
Dark canvases,1.5,2197000,1.826001229001351,0.326854802002731,524288,0.00457763671875
Dark canvases,1.525,2197000,1.89415754082522,0.3306326809285389,524288,0.0057220458984375
Dark canvases,1.55,2197000,1.9607955814745412,0.33290851160673646,524288,0.006103515625
Dark canvases,1.575,2197000,2.024850706389097,0.3358670914883933,524288,0.006103515625
Dark canvases,1.6,2197000,2.0888927243970037,0.33755120619025947,524288,0.00629425048828125
Dark canvases,1.625,2197000,2.1504974580407183,0.3399180700955849,524288,0.00629425048828125
Dark canvases,1.65,2197000,2.210623361756431,0.34155666818388714,524288,0.00667572021484375
Dark canvases,1.675,2197000,2.2706595574013586,0.34401456531634045,524288,0.00972747802734375
Dark canvases,1.7,2197000,2.328235631037592,0.3452890304961311,524288,0.0118255615234375
Dark canvases,1.725,2197000,2.384613608259789,0.34597177969959036,524288,0.01354217529296875
Dark canvases,1.75,2197000,2.440917552093942,0.3467910787437415,524288,0.01430511474609375
Dark canvases,1.775,2197000,2.495233466449963,0.34883932635411924,524288,0.019073486328125
Dark canvases,1.8,2197000,2.5480250534166276,0.3497951752389622,524288,0.0247955322265625
Dark canvases,1.825,2197000,2.600819603961126,0.3514792899408284,524288,0.02765655517578125
Dark canvases,1.85,2197000,2.6525413155904167,0.3521620391442877,524288,0.03108978271484375
Dark canvases,1.875,2197000,2.702038942458708,0.35293582157487485,524288,0.0339508056640625
Dark canvases,1.9,2197000,2.7514027424385583,0.35311788802913063,524288,0.0446319580078125
Dark canvases,1.925,2197000,2.800519890444393,0.35384615384615387,524288,0.05035400390625
Dark canvases,1.95,2197000,2.847767315834266,0.35457441966317704,524288,0.05283355712890625
Dark canvases,1.975,2197000,2.8938651298909384,0.3543468365953573,524288,0.05512237548828125
Dark canvases,2.0,2197000,2.939960522005927,0.3550751024123805,524288,0.0583648681640625
